Actual Density,Mean D between Robots,Num Robots,Mean SDE,Min SDE,Max SDE,SDE Range
1.9981787,41.15807,3,2.8,2,3.6,1.5999999
0.3662098,54.55165,5,2.4,1.4000001,4.4,3
4.6139684,48.838875,2,1.9,1,2.8,1.8
4.441387,43.91827,2,1.9,1,2.8,1.8
8.660363,34.3388,2,1.9,1,2.8,1.8
2.098359,43.871666,2,1.9,1,2.8,1.8
10.713901,38.307793,2,1.9,1,2.8,1.8
2.169966,59.413483,2,1.9,1,2.8,1.8
1.6422787,43.54981,3,2,2,2,0
0.3843318,54.45456,5,1.7333333,1.2,2.6666667,1.4666667
3.0284376,52.726303,2,1,1,1,0
1.1018904,54.484253,3,1.3000001,1,1.7,0.70000005
22.032152,31.311567,2,1,1,1,0
1.8789071,46.718258,2,1,1,1,0
8.284485,33.38069,2,1,1,1,0
1.6421317,63.37296,2,1,1,1,0
1.4227953,45.111267,3,2,2,2,0
0.39554262,55.16987,5,1.7333333,1.2,2.6666667,1.4666667
2.1400564,57.238987,2,1,1,1,0
1.3338574,52.01168,3,1.4,1.2,1.8000001,0.6
89.81448,29.808722,2,1,1,1,0
1.6828882,49.562515,2,1,1,1,0
6.8336105,29.503098,2,1,1,1,0
1.2879266,68.12687,2,1,1,1,0
1.2710567,46.744244,3,2,2,2,0
1.5933106,50.467842,2,1.1,1,1.2,0.20000005
0.82796407,48.195736,3,1.4,1.2,1.8000001,0.6
1.6363606,61.54096,2,1,1,1,0
1.7183312,49.959126,3,1.4,1.2,1.8000001,0.6
17.774025,28.618181,2,1,1,1,0
1.4753437,53.200348,2,1,1,1,0
7.0187745,25.574593,2,1,1,1,0
1.1520655,48.70865,3,2,2,2,0
1.8435149,47.158386,2,1,1,1,0
0.77625793,47.798897,3,1.4,1.2,1.8000001,0.6
1.305954,66.62046,2,1,1,1,0
2.0265112,48.39328,3,1.4,1.2,1.8000001,0.6
9.771606,27.9383,2,1,1,1,0
1.330247,56.2632,2,1,1,1,0
8.842318,21.396235,2,1,1,1,0
0.73273736,55.010475,4,1.9833333,1.2,2.7333333,1.5333333
2.1801736,43.64419,2,1,1,1,0
0.7273995,48.37315,3,1.4,1.2,1.8000001,0.6
2.0863001,46.97351,3,1.4,1.2,1.8000001,0.6
7.1054873,28.113745,2,1,1,1,0
1.2019472,59.382767,2,1,1,1,0
11.886057,18.94638,2,1,1,1,0
0.7656058,50.66281,4,1.6250001,1.2,2,0.79999995
2.542708,40.862503,2,1,1,1,0
0.67526436,49.488823,3,1.4,1.2,1.8000001,0.6
2.1190305,46.063126,3,1.4,1.2,1.8000001,0.6
5.767876,28.782696,2,1,1,1,0
1.0748625,63.006176,2,1,1,1,0
19.861385,15.190894,2,1,1,1,0
3.0312235,37.736416,2,1,1,1,0
5.534473,30.242258,2,1,1,1,0
2.1171222,45.209923,3,1.4,1.2,1.8000001,0.6
4.9822845,29.525799,2,1,1,1,0
0.99911773,66.00732,2,1,1,1,0
12.593216,18.843647,2,1,1,1,0
2.2278535,40.418762,3,1.4000001,1.2,1.8000001,0.6
3.7635634,34.678905,2,1,1,1,0
5.664741,29.648289,2,1,1,1,0
1.7484053,45.042618,3,1.4,1.2,1.8000001,0.6
4.764635,29.67987,2,1,1,1,0
0.6355078,68.991104,3,1.3666668,1.2,1.7,0.5
20.946966,18.916666,2,1,1,1,0
2.472252,48.861774,3,1.9666667,1.9000001,2,0.099999905
4.9837384,31.258818,2,1,1,1,0
5.7661986,29.224487,2,1,1,1,0
1.4847302,45.31588,3,1.4,1.2,1.8000001,0.6
4.695999,29.686684,2,1,1,1,0
4.642305,65.20784,2,1,1,1,0
18.702656,19.716057,2,1,1,1,0
2.4555511,46.34189,3,2,2,2,0
6.844555,28.213762,2,1,1,1,0
5.856655,28.940514,2,1,1,1,0
15.714747,20.626493,2,1.1,1,1.2,0.20000005
4.607544,29.765377,2,1,1,1,0
4.7087154,61.55208,2,1,1,1,0
126.55686,16.005379,2,1,1,1,0
2.5311372,43.75534,3,2,2,2,0
10.855034,25.18371,2,1,1,1,0
6.0147705,28.494257,2,1,1,1,0
1.211209,44.31092,3,1.3666668,1.2,1.7,0.5
4.682746,29.67003,2,1,1,1,0
5.1510353,57.876427,2,1,1,1,0
72.200966,17.019539,2,1,1,1,0
2.694947,40.893803,3,2,2,2,0
27.643986,22.895418,2,1,1,1,0
1.1606808,65.91152,2,0.9,0.8,1,0.19999999
5.8159456,29.113907,2,1,1,1,0
1.1461921,43.103825,3,1.4,1.2,1.8000001,0.6
4.747098,29.650698,2,1,1,1,0
5.576734,54.127003,2,1,1,1,0
3.024999,43.750637,3,1.2666668,1,1.8000001,0.8000001
2.9478076,37.881687,3,2,2,2,0
153.61009,20.99123,2,1,1,1,0
1.4736795,61.26755,2,1,1,1,0
5.5596423,30.086624,2,1,1,1,0
1.069745,42.75505,3,1.4,1.2,1.8000001,0.6
4.81817,29.618326,2,1,1,1,0
5.956341,50.70883,2,1,1,1,0
3.0453653,43.49408,3,1.4000001,1.2,1.8000001,0.6
3.159924,35.39663,3,2,2,2,0
23.837294,20.315672,2,1,1,1,0
1.9881178,57.05679,2,1,1,1,0
5.5043626,30.298002,2,1,1,1,0
1.0242292,42.480534,3,1.4,1.2,1.8000001,0.6
4.7409277,29.617184,2,1,1,1,0
6.375299,48.067703,2,1,1,1,0
3.0619438,43.599236,3,1.4000001,1.2,1.8000001,0.6
3.3444457,33.468716,3,2,2,2,0
12.481476,20.598736,2,1,1,1,0
2.9158611,52.78476,2,1,1,1,0
5.41459,30.633394,2,1,1,1,0
1.0094916,42.16304,3,1.4,1.2,1.8000001,0.6
4.634368,29.61222,2,1,1,1,0
6.2644215,45.01513,2,1,1,1,0
2.2836416,44.23866,3,1.4000001,1.2,1.8000001,0.6
3.4394574,32.415478,3,2,2,2,0
0.40427008,44.093925,5,1.6,1.2,2,0.79999995
5.2518635,50.70418,2,1,1,1,0
5.0341754,31.917068,2,1,1,1,0
4.5659366,29.618093,2,1,1,1,0
5.846445,42.372883,2,1,1,1,0
1.8668265,45.06711,3,1.4000001,1.2,1.8000001,0.6
3.7533245,31.550606,3,2,2,2,0
0.4178805,43.51369,5,1.64,1.2,2,0.79999995
21.390835,48.75288,2,1,1,1,0
4.541901,34.095196,2,1,1,1,0
4.554319,29.63618,2,1,1,1,0
5.7775784,40.652737,2,1,1,1,0
1.4521043,47.084187,3,1.4000001,1.2,1.8000001,0.6
3.9128046,31.620932,3,2,2,2,0
0.4307315,43.281975,5,1.64,1.2,2,0.79999995
13.656894,46.73789,2,1,1,1,0
4.3784533,35.408115,2,1,1,1,0
4.5440607,29.67347,2,1,1,1,0
5.503114,38.48343,2,1,1,1,0
1.2363793,50.022705,3,1.4000001,1.2,1.8000001,0.6
3.6245713,34.138283,3,2,2,2,0
1.2203783,33.784245,4,1.55,1.2,1.9000001,0.70000005
5.4645987,45.081646,2,1,1,1,0
4.2972345,36.662037,2,1,1,1,0
4.5519676,29.7177,2,1,1,1,0
5.29924,35.98507,2,1,1,1,0
1.1780807,51.358913,3,1.4000001,1.2,1.8000001,0.6
3.165795,36.10338,3,2,2,2,0
1.3234587,41.872597,4,2.0666666,1.4000001,2.6666667,1.2666667
3.6160014,44.447792,2,1,1,1,0
4.3602676,37.443222,2,1,1,1,0
4.759467,29.868572,2,1,1,1,0
5.548208,33.10011,2,1,1,1,0
1.1424233,54.262474,3,1.4000001,1.2,1.8000001,0.6
2.7356296,37.057613,3,2,2,2,0
1.4729139,39.84749,4,2.0833333,1.4000001,2.7333333,1.3333333
2.7066529,44.678246,2,1,1,1,0
4.391475,38.26298,2,1,1,1,0
4.801729,30.793262,2,1,1,1,0
6.69663,29.35039,2,1,1,1,0
0.4019947,61.55138,4,1.5500001,1.2,2.6000001,1.4000001
2.3628726,38.304886,3,2,2,2,0
1.5753918,38.080063,4,2.0833333,1.4000001,2.7333333,1.3333333
2.297714,44.53931,2,1,1,1,0
4.391366,38.334507,2,1,1,1,0
4.875155,32.141666,2,1,1,1,0
7.991993,25.700062,2,1,1,1,0
0.3800801,62.655704,4,1.7,1.4000001,2.6000001,1.2
2.001674,40.749695,3,2,2,2,0
1.7016742,36.717155,4,2.0833333,1.4000001,2.7333333,1.3333333
2.09301,44.531643,2,1,1,1,0
4.4053845,38.004997,2,1,1,1,0
4.8530397,33.77357,2,1,1,1,0
9.943292,22.285885,2,1,1,1,0
0.39829674,61.404217,4,1.7,1.4000001,2.6000001,1.2
1.672502,43.6982,3,2,2,2,0
0.5264268,58.934124,4,1.4000001,0.8,1.9000001,1.1000001
1.8787755,42.00828,4,2.4583333,2.1,2.8000002,0.7000003
2.0661585,44.009636,2,1,1,1,0
4.9218364,36.16597,2,1,1,1,0
12.315801,19.80237,2,1,1,1,0
0.41717774,59.967777,4,1.7,1.4000001,2.6000001,1.2
1.4156551,46.80151,3,2,2,2,0
0.5782437,56.465347,4,1.55,1.2,1.9000001,0.70000005
2.117478,40.251415,4,2.5333333,2.2,2.8666668,0.66666675
1.9368889,45.89886,2,1,1,1,0
5.135531,37.913963,2,1,1,1,0
8.528996,22.06646,2,1,1,1,0
0.43935484,58.360485,4,1.7,1.4000001,2.6000001,1.2
1.2445194,49.458355,3,2,2,2,0
0.6298656,54.432068,4,1.55,1.2,1.9000001,0.70000005
